Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
 jack ,50.0,,Other,Sales,Director,03-25-2019,B,name@company.org,098-765-4321
 bob ,40.0,55000.0,Female,Finance,Manager,"April 5, 2018",F,user@domain.com,555-555-5555
 jack ,25.0,60000.0,Female,Marketing,Assistant,03-25-2019,D,,555-555-5555
 david ,25.0,60000.0,Other,Sales,Manager,"April 5, 2018",D,email@example.com,555-555-5555
 hannah ,40.0,,Male,Sales,Director,2019.12.01,F,, 
 grace ,35.0,,Other,IT,Analyst,01/15/2020,F,email@example.com,555-555-5555
 ivy ,50.0,55000.0,Female,Marketing,Analyst,2019.12.01,A,user@domain.com,
 eve ,40.0,60000.0,Female,Finance,Director,03-25-2019,C,,123-456-7890
 hannah ,25.0,70000.0,Other,HR,Analyst,2019.12.01,F,user@domain.com,098-765-4321
 jack ,25.0,55000.0,Other,HR,Director,"April 5, 2018",B,,098-765-4321
 ivy ,25.0,,Male,HR,Director,03-25-2019,D,name@company.org,098-765-4321
 alice ,25.0,65000.0,Male,Finance,Director,"April 5, 2018",D,user@domain.com,123-456-7890
 grace ,50.0,70000.0,Female,Marketing,Clerk,"April 5, 2018",C,,098-765-4321
 ivy ,50.0,55000.0,Other,Sales,Assistant,2019.12.01,F,,
 alice ,40.0,65000.0,Other,Finance,Assistant,2019.12.01,A,email@example.com, 
 hannah ,25.0,70000.0,Female,HR,Analyst,01/15/2020,D,email@example.com,
 hannah ,25.0,55000.0,Male,Finance,Assistant,01/15/2020,F,,098-765-4321
 charlie ,40.0,70000.0,Male,IT,Director,01/15/2020,D,email@example.com,123-456-7890
 alice ,50.0,65000.0,Other,HR,Assistant,03-25-2019,C,email@example.com,555-555-5555
 hannah ,35.0,65000.0,Other,IT,Manager,03-25-2019,B,name@company.org, 
 charlie ,35.0,60000.0,Other,Sales,Manager,03-25-2019,B,email@example.com,555-555-5555
 charlie ,35.0,,Other,Marketing,Assistant,2019.12.01,F,user@domain.com,123-456-7890
 alice ,50.0,,Female,Sales,Manager,03-25-2019,B,, 
 eve ,50.0,55000.0,Male,Marketing,Manager,2020/02/20,B,,555-555-5555
 jack ,40.0,65000.0,Other,Sales,Assistant,01/15/2020,A,name@company.org,123-456-7890
 grace ,25.0,60000.0,Female,Finance,Clerk,2019.12.01,F,,555-555-5555
 jack ,40.0,60000.0,Other,IT,Clerk,01/15/2020,F,,098-765-4321
 ivy ,40.0,70000.0,Other,Marketing,Analyst,03-25-2019,B,user@domain.com,123-456-7890
 grace ,50.0,70000.0,Male,HR,Manager,2019.12.01,B,email@example.com,555-555-5555
 ivy ,35.0,60000.0,Other,IT,Assistant,"April 5, 2018",B,user@domain.com,098-765-4321
 bob ,25.0,65000.0,Male,IT,Director,03-25-2019,D,email@example.com,123-456-7890
 alice ,50.0,50000.0,Male,IT,Manager,03-25-2019,C,,
 grace ,35.0,65000.0,Female,Sales,Manager,2020/02/20,F,email@example.com, 
 eve ,50.0,65000.0,Other,IT,Manager,03-25-2019,A,name@company.org,098-765-4321
 hannah ,25.0,70000.0,Other,Finance,Analyst,01/15/2020,F,user@domain.com,
 charlie ,50.0,60000.0,Other,HR,Clerk,2019.12.01,A,email@example.com,555-555-5555
 alice ,50.0,55000.0,Female,Sales,Clerk,01/15/2020,A,,123-456-7890
 charlie ,35.0,,Other,IT,Manager,2019.12.01,F,user@domain.com, 
 charlie ,25.0,65000.0,Female,HR,Analyst,2019.12.01,A,,098-765-4321
 alice ,40.0,70000.0,Other,IT,Director,2019.12.01,D,name@company.org,555-555-5555
 eve ,35.0,65000.0,Other,Sales,Director,01/15/2020,F,name@company.org,123-456-7890
 grace ,35.0,70000.0,Other,Marketing,Director,2019.12.01,D,,
 ivy ,50.0,65000.0,Female,Sales,Director,"April 5, 2018",B,email@example.com, 
 charlie ,25.0,65000.0,Female,Sales,Manager,01/15/2020,A,,123-456-7890
 david ,40.0,55000.0,Other,IT,Clerk,2020/02/20,A,,555-555-5555
 david ,25.0,50000.0,Other,Finance,Manager,2020/02/20,D,user@domain.com,098-765-4321
 eve ,25.0,70000.0,Female,Finance,Director,01/15/2020,B,name@company.org,555-555-5555
 grace ,35.0,65000.0,Other,Sales,Clerk,03-25-2019,D,,
 grace ,35.0,55000.0,Female,Marketing,Analyst,01/15/2020,B,email@example.com, 
 david ,40.0,50000.0,Other,IT,Clerk,2019.12.01,A,email@example.com,123-456-7890
 grace ,50.0,,Male,Sales,Assistant,2019.12.01,A,name@company.org,555-555-5555
 charlie ,25.0,60000.0,Male,Sales,Clerk,03-25-2019,B,,098-765-4321
 frank ,40.0,65000.0,Female,Marketing,Manager,2020/02/20,C,email@example.com,555-555-5555
 bob ,35.0,55000.0,Female,IT,Clerk,03-25-2019,F,user@domain.com, 
 jack ,35.0,70000.0,Female,Marketing,Assistant,2019.12.01,D,email@example.com,123-456-7890
 ivy ,25.0,50000.0,Other,IT,Analyst,03-25-2019,D,,555-555-5555
 david ,35.0,55000.0,Other,Sales,Assistant,2020/02/20,D,name@company.org,
 jack ,50.0,65000.0,Female,HR,Assistant,01/15/2020,F,,098-765-4321
 grace ,50.0,65000.0,Other,Finance,Analyst,"April 5, 2018",F,email@example.com,123-456-7890
 ivy ,35.0,65000.0,Other,Marketing,Manager,2019.12.01,B,email@example.com,098-765-4321
 alice ,40.0,50000.0,Male,Marketing,Analyst,01/15/2020,C,user@domain.com,098-765-4321
 ivy ,50.0,65000.0,Male,IT,Director,"April 5, 2018",A,,123-456-7890
 ivy ,40.0,70000.0,Other,Finance,Assistant,01/15/2020,A,user@domain.com, 
 david ,50.0,55000.0,Female,Sales,Analyst,2019.12.01,F,email@example.com,555-555-5555
 grace ,25.0,,Other,Finance,Assistant,03-25-2019,F,name@company.org,555-555-5555
 frank ,40.0,,Other,Sales,Assistant,2020/02/20,C,,
 hannah ,35.0,70000.0,Male,Marketing,Clerk,01/15/2020,A,user@domain.com,123-456-7890
 ivy ,40.0,,Other,IT,Analyst,2020/02/20,C,email@example.com,
 eve ,35.0,65000.0,Other,Sales,Assistant,2019.12.01,A,,123-456-7890
 charlie ,40.0,55000.0,Female,Marketing,Clerk,03-25-2019,F,,123-456-7890
 hannah ,25.0,50000.0,Female,HR,Analyst,01/15/2020,F,,555-555-5555
 ivy ,40.0,70000.0,Male,Sales,Manager,2020/02/20,B,user@domain.com,
 alice ,35.0,50000.0,Male,Sales,Analyst,01/15/2020,C,, 
 david ,35.0,70000.0,Male,HR,Clerk,2020/02/20,A,,
 charlie ,40.0,60000.0,Other,HR,Director,2019.12.01,F,user@domain.com,
 alice ,40.0,65000.0,Female,Marketing,Manager,2019.12.01,B,name@company.org,555-555-5555
 eve ,50.0,65000.0,Female,Sales,Analyst,2019.12.01,C,, 
 alice ,50.0,55000.0,Male,HR,Clerk,2020/02/20,C,,
 hannah ,25.0,50000.0,Other,IT,Analyst,01/15/2020,B,name@company.org,
 alice ,40.0,60000.0,Male,Sales,Manager,2020/02/20,C,name@company.org,
 bob ,35.0,55000.0,Female,Finance,Assistant,01/15/2020,A,, 
 eve ,50.0,70000.0,Other,Marketing,Clerk,"April 5, 2018",B,name@company.org,
 alice ,25.0,60000.0,Other,Finance,Clerk,2019.12.01,C,,123-456-7890
 bob ,50.0,55000.0,Female,HR,Clerk,"April 5, 2018",F,user@domain.com,098-765-4321
 eve ,35.0,50000.0,Male,Sales,Manager,01/15/2020,B,name@company.org,098-765-4321
 jack ,50.0,70000.0,Female,Sales,Clerk,2019.12.01,F,user@domain.com, 
 frank ,25.0,50000.0,Other,IT,Assistant,01/15/2020,C,,
 david ,35.0,70000.0,Female,Sales,Director,"April 5, 2018",D,,555-555-5555
 grace ,25.0,60000.0,Female,HR,Assistant,01/15/2020,F,,555-555-5555
 hannah ,50.0,65000.0,Male,Finance,Analyst,03-25-2019,D,,123-456-7890
 alice ,25.0,60000.0,Other,Finance,Analyst,01/15/2020,A,user@domain.com, 
 hannah ,40.0,50000.0,Male,Finance,Assistant,2019.12.01,D,user@domain.com,098-765-4321
 eve ,25.0,,Male,Marketing,Assistant,2019.12.01,D,name@company.org,
 david ,25.0,70000.0,Other,Sales,Assistant,"April 5, 2018",F,name@company.org, 
 bob ,50.0,70000.0,Male,Sales,Manager,2020/02/20,A,,098-765-4321
 frank ,50.0,50000.0,Male,HR,Manager,2020/02/20,D,user@domain.com,098-765-4321
 frank ,35.0,,Male,Finance,Analyst,2019.12.01,C,name@company.org, 
 alice ,50.0,50000.0,Male,IT,Clerk,2019.12.01,F,,098-765-4321
 david ,40.0,55000.0,Male,HR,Assistant,2020/02/20,C,user@domain.com,
 david ,40.0,60000.0,Female,HR,Manager,2019.12.01,D,user@domain.com,123-456-7890
 jack ,40.0,,Male,IT,Director,03-25-2019,A,email@example.com, 
 charlie ,35.0,70000.0,Other,HR,Director,01/15/2020,C,name@company.org,555-555-5555
 charlie ,50.0,50000.0,Other,HR,Manager,2019.12.01,C,name@company.org,098-765-4321
 grace ,40.0,60000.0,Female,Marketing,Director,03-25-2019,A,,555-555-5555
 alice ,25.0,60000.0,Male,Sales,Assistant,2020/02/20,D,, 
 hannah ,50.0,65000.0,Other,Sales,Manager,2019.12.01,D,name@company.org,
 bob ,25.0,,Male,HR,Manager,2019.12.01,C,,555-555-5555
 hannah ,40.0,55000.0,Female,HR,Analyst,"April 5, 2018",C,user@domain.com, 
 alice ,25.0,70000.0,Male,Finance,Director,2019.12.01,C,name@company.org,123-456-7890
 ivy ,50.0,,Other,Marketing,Manager,2020/02/20,F,name@company.org,555-555-5555
 grace ,40.0,50000.0,Male,IT,Assistant,"April 5, 2018",A,,123-456-7890
 charlie ,50.0,60000.0,Other,HR,Analyst,"April 5, 2018",A,user@domain.com,
 grace ,40.0,50000.0,Other,IT,Director,2019.12.01,F,,098-765-4321
 jack ,35.0,50000.0,Female,Sales,Assistant,2019.12.01,A,,
 ivy ,25.0,60000.0,Male,HR,Clerk,2020/02/20,B,,123-456-7890
 david ,50.0,,Other,HR,Clerk,03-25-2019,C,, 
 alice ,35.0,50000.0,Female,IT,Analyst,2019.12.01,C,email@example.com,
 eve ,40.0,50000.0,Other,Sales,Assistant,"April 5, 2018",C,name@company.org,
 eve ,25.0,65000.0,Other,HR,Manager,"April 5, 2018",D,,555-555-5555
 grace ,40.0,55000.0,Male,Sales,Clerk,01/15/2020,B,, 
 ivy ,40.0,70000.0,Other,Marketing,Director,2020/02/20,A,user@domain.com,
 charlie ,25.0,65000.0,Female,Sales,Analyst,01/15/2020,F,email@example.com,123-456-7890
 charlie ,40.0,70000.0,Female,HR,Director,2020/02/20,D,email@example.com,098-765-4321
 hannah ,50.0,55000.0,Female,Marketing,Clerk,2020/02/20,D,name@company.org,123-456-7890
 hannah ,50.0,,Male,HR,Director,2020/02/20,D,name@company.org,123-456-7890
 david ,50.0,55000.0,Other,IT,Clerk,03-25-2019,C,, 
 alice ,35.0,60000.0,Other,Marketing,Analyst,"April 5, 2018",A,, 
 hannah ,25.0,,Female,Marketing,Manager,2019.12.01,C,user@domain.com,123-456-7890
 david ,35.0,,Male,IT,Assistant,03-25-2019,C,user@domain.com, 
 frank ,40.0,55000.0,Male,HR,Clerk,03-25-2019,B,,
 david ,35.0,55000.0,Male,Finance,Assistant,03-25-2019,D,,123-456-7890
 ivy ,40.0,50000.0,Other,Finance,Assistant,"April 5, 2018",D,email@example.com,
 charlie ,40.0,60000.0,Female,IT,Analyst,01/15/2020,A,name@company.org,098-765-4321
 ivy ,35.0,55000.0,Other,HR,Director,"April 5, 2018",D,name@company.org,123-456-7890
 bob ,35.0,,Male,IT,Clerk,03-25-2019,D,user@domain.com,098-765-4321
 bob ,25.0,,Male,Marketing,Director,03-25-2019,C,user@domain.com,098-765-4321
 frank ,35.0,65000.0,Male,Finance,Assistant,"April 5, 2018",D,name@company.org,123-456-7890
 charlie ,35.0,55000.0,Female,Sales,Analyst,03-25-2019,F,email@example.com,123-456-7890
 ivy ,50.0,65000.0,Male,Finance,Manager,01/15/2020,D,user@domain.com,555-555-5555
 alice ,50.0,70000.0,Male,HR,Director,03-25-2019,A,,555-555-5555
 david ,50.0,70000.0,Female,HR,Analyst,2020/02/20,A,email@example.com,555-555-5555
 alice ,40.0,50000.0,Other,Finance,Assistant,"April 5, 2018",D,name@company.org,123-456-7890
 eve ,25.0,55000.0,Male,Sales,Manager,"April 5, 2018",B,, 
 grace ,35.0,65000.0,Male,Sales,Manager,2019.12.01,B,name@company.org,555-555-5555
 charlie ,35.0,50000.0,Male,Finance,Manager,2019.12.01,D,user@domain.com, 
 alice ,35.0,65000.0,Female,Marketing,Analyst,2020/02/20,B,,
 charlie ,25.0,60000.0,Other,Finance,Analyst,2020/02/20,B,, 
 frank ,50.0,,Female,Finance,Director,"April 5, 2018",B,user@domain.com,555-555-5555
 grace ,35.0,70000.0,Female,IT,Manager,01/15/2020,D,,123-456-7890
 frank ,40.0,65000.0,Male,HR,Clerk,2020/02/20,B,name@company.org,098-765-4321
 frank ,35.0,60000.0,Male,Marketing,Director,2019.12.01,A,user@domain.com,123-456-7890
 charlie ,25.0,70000.0,Male,Marketing,Manager,01/15/2020,A,,098-765-4321
 bob ,40.0,50000.0,Male,HR,Manager,03-25-2019,C,,123-456-7890
 eve ,25.0,50000.0,Other,Sales,Manager,2020/02/20,B,, 
 alice ,25.0,,Other,Finance,Director,"April 5, 2018",B,name@company.org,
 alice ,25.0,70000.0,Other,IT,Clerk,03-25-2019,F,,555-555-5555
 eve ,25.0,65000.0,Other,Finance,Director,03-25-2019,B,,555-555-5555
 charlie ,25.0,,Male,Finance,Director,2019.12.01,C,email@example.com,
 david ,40.0,,Other,IT,Clerk,03-25-2019,B,email@example.com,123-456-7890
 charlie ,35.0,55000.0,Male,Marketing,Director,2020/02/20,D,user@domain.com,
 alice ,25.0,70000.0,Female,HR,Director,03-25-2019,F,email@example.com,098-765-4321
 eve ,35.0,65000.0,Other,HR,Clerk,03-25-2019,B,,555-555-5555
 frank ,35.0,,Other,Marketing,Assistant,"April 5, 2018",C,user@domain.com,123-456-7890
 ivy ,40.0,55000.0,Other,Finance,Analyst,01/15/2020,B,, 
 alice ,35.0,65000.0,Male,Marketing,Analyst,2019.12.01,F,,
 eve ,50.0,50000.0,Other,HR,Analyst,"April 5, 2018",D,user@domain.com,123-456-7890
 charlie ,50.0,55000.0,Male,HR,Director,03-25-2019,F,user@domain.com,
 eve ,35.0,50000.0,Male,Marketing,Clerk,2019.12.01,B,,098-765-4321
 grace ,40.0,70000.0,Male,Sales,Analyst,03-25-2019,D,,
 charlie ,35.0,60000.0,Female,HR,Assistant,03-25-2019,A,,123-456-7890
 bob ,35.0,50000.0,Other,IT,Manager,"April 5, 2018",D,user@domain.com, 
 ivy ,25.0,50000.0,Female,HR,Manager,01/15/2020,C,user@domain.com,
 jack ,40.0,50000.0,Male,Finance,Director,03-25-2019,F,,555-555-5555
 frank ,25.0,60000.0,Male,Sales,Assistant,03-25-2019,B,name@company.org,
 charlie ,25.0,65000.0,Female,IT,Clerk,2019.12.01,C,name@company.org,
 hannah ,25.0,,Other,Marketing,Assistant,01/15/2020,F,name@company.org, 
 bob ,50.0,65000.0,Male,Sales,Manager,"April 5, 2018",F,user@domain.com,123-456-7890
 frank ,35.0,55000.0,Other,Marketing,Clerk,2019.12.01,D,user@domain.com,
 grace ,40.0,,Other,Finance,Clerk,01/15/2020,C,name@company.org, 
 bob ,25.0,60000.0,Male,Sales,Assistant,03-25-2019,C,user@domain.com,123-456-7890
 jack ,40.0,,Other,Marketing,Assistant,01/15/2020,C,email@example.com,555-555-5555
 bob ,50.0,60000.0,Female,Sales,Clerk,03-25-2019,D,name@company.org,123-456-7890
 jack ,50.0,,Female,IT,Analyst,2019.12.01,A,user@domain.com,098-765-4321
 alice ,25.0,65000.0,Female,IT,Assistant,03-25-2019,F,email@example.com,123-456-7890
 alice ,25.0,65000.0,Male,HR,Director,03-25-2019,D,user@domain.com,
 frank ,35.0,65000.0,Female,Sales,Clerk,2019.12.01,F,,123-456-7890
 jack ,25.0,55000.0,Other,HR,Manager,01/15/2020,F,email@example.com,123-456-7890
 grace ,40.0,,Other,IT,Clerk,"April 5, 2018",C,name@company.org,555-555-5555
 bob ,25.0,60000.0,Female,Marketing,Analyst,2020/02/20,A,,123-456-7890
 hannah ,40.0,55000.0,Other,Sales,Assistant,03-25-2019,A,name@company.org,555-555-5555
 jack ,50.0,,Male,IT,Clerk,2020/02/20,A,,123-456-7890
 ivy ,50.0,,Female,Marketing,Assistant,03-25-2019,A,name@company.org,123-456-7890
 david ,40.0,60000.0,Other,HR,Director,2019.12.01,F,email@example.com,098-765-4321
 david ,25.0,65000.0,Male,HR,Analyst,01/15/2020,D,user@domain.com,123-456-7890
 alice ,35.0,,Male,Finance,Assistant,2020/02/20,B,name@company.org,098-765-4321
 charlie ,35.0,70000.0,Female,Marketing,Analyst,"April 5, 2018",D,,123-456-7890
 grace ,40.0,60000.0,Other,Finance,Clerk,01/15/2020,C,email@example.com,098-765-4321
 bob ,50.0,60000.0,Male,IT,Manager,01/15/2020,B,name@company.org, 
 frank ,35.0,60000.0,Female,HR,Analyst,"April 5, 2018",C,,098-765-4321
 ivy ,35.0,,Other,IT,Clerk,2019.12.01,D,name@company.org,555-555-5555
 frank ,25.0,55000.0,Male,IT,Director,2020/02/20,D,,555-555-5555
 jack ,50.0,55000.0,Male,IT,Manager,2019.12.01,F,name@company.org,123-456-7890
 jack ,35.0,50000.0,Other,Finance,Clerk,2019.12.01,D,user@domain.com,
 david ,40.0,70000.0,Other,Marketing,Analyst,2020/02/20,A,,098-765-4321
 frank ,35.0,50000.0,Female,HR,Director,2019.12.01,F,user@domain.com,123-456-7890
 frank ,40.0,65000.0,Male,Marketing,Director,01/15/2020,D,user@domain.com,
 eve ,35.0,,Female,Marketing,Assistant,2019.12.01,F,,123-456-7890
 eve ,25.0,,Female,Finance,Director,2019.12.01,A,email@example.com,123-456-7890
 grace ,40.0,70000.0,Male,Sales,Analyst,03-25-2019,C,, 
 david ,50.0,65000.0,Female,IT,Director,2019.12.01,C,name@company.org,
 frank ,25.0,60000.0,Other,Finance,Assistant,2020/02/20,F,name@company.org,098-765-4321
 david ,40.0,60000.0,Other,Finance,Assistant,2020/02/20,B,email@example.com,
 grace ,25.0,,Other,HR,Analyst,03-25-2019,F,, 
 hannah ,40.0,50000.0,Male,HR,Analyst,01/15/2020,B,email@example.com,555-555-5555
 jack ,50.0,55000.0,Male,Marketing,Director,"April 5, 2018",B,email@example.com,123-456-7890
 alice ,35.0,55000.0,Female,Marketing,Assistant,2020/02/20,C,user@domain.com,
 jack ,50.0,65000.0,Other,Marketing,Analyst,2019.12.01,B,user@domain.com,
 grace ,35.0,70000.0,Male,HR,Clerk,2019.12.01,A,,123-456-7890
 jack ,40.0,65000.0,Other,Finance,Clerk,"April 5, 2018",D,,123-456-7890
 eve ,40.0,65000.0,Male,IT,Manager,03-25-2019,A,user@domain.com,
 eve ,35.0,70000.0,Male,IT,Assistant,2019.12.01,B,name@company.org, 
 grace ,35.0,,Female,Sales,Manager,01/15/2020,A,, 
 ivy ,50.0,65000.0,Other,Finance,Manager,2019.12.01,D,user@domain.com,098-765-4321
 alice ,40.0,70000.0,Other,Sales,Director,01/15/2020,F,name@company.org,
 jack ,50.0,65000.0,Male,Finance,Clerk,2020/02/20,C,name@company.org, 
 jack ,25.0,,Other,Marketing,Manager,01/15/2020,F,email@example.com,
 alice ,40.0,70000.0,Male,IT,Assistant,03-25-2019,C,,098-765-4321
 bob ,50.0,60000.0,Male,HR,Clerk,"April 5, 2018",B,name@company.org,
 frank ,40.0,,Female,Sales,Director,2020/02/20,D,,098-765-4321
 hannah ,25.0,65000.0,Female,HR,Analyst,03-25-2019,D,,098-765-4321
 alice ,25.0,60000.0,Other,Sales,Manager,2020/02/20,F,email@example.com, 
 eve ,50.0,60000.0,Other,HR,Assistant,01/15/2020,A,, 
 frank ,25.0,55000.0,Male,HR,Manager,01/15/2020,D,email@example.com,555-555-5555
 charlie ,40.0,50000.0,Other,Finance,Manager,"April 5, 2018",B,,555-555-5555
 jack ,25.0,55000.0,Other,HR,Clerk,2019.12.01,F,email@example.com, 
 charlie ,50.0,,Female,IT,Manager,2020/02/20,B,,
 eve ,25.0,60000.0,Other,Marketing,Manager,03-25-2019,F,, 
 frank ,35.0,55000.0,Male,HR,Analyst,03-25-2019,F,,
 ivy ,40.0,70000.0,Female,Sales,Clerk,03-25-2019,C,user@domain.com,
 eve ,50.0,50000.0,Male,IT,Director,01/15/2020,B,,123-456-7890
 alice ,50.0,60000.0,Other,HR,Director,"April 5, 2018",B,,098-765-4321
 jack ,50.0,50000.0,Male,IT,Analyst,"April 5, 2018",A,, 
 eve ,40.0,65000.0,Male,Finance,Director,2020/02/20,C,email@example.com,
 grace ,25.0,,Male,Marketing,Manager,2020/02/20,B,,555-555-5555
 david ,25.0,,Other,Finance,Analyst,2020/02/20,D,email@example.com,098-765-4321
 alice ,40.0,60000.0,Other,Sales,Analyst,01/15/2020,B,user@domain.com,098-765-4321
 eve ,50.0,65000.0,Male,HR,Manager,2019.12.01,F,email@example.com,123-456-7890
 grace ,25.0,50000.0,Female,Marketing,Analyst,2020/02/20,A,email@example.com,123-456-7890
 jack ,25.0,65000.0,Female,Marketing,Manager,2019.12.01,C,email@example.com,123-456-7890
 jack ,25.0,65000.0,Other,Sales,Manager,01/15/2020,F,name@company.org,098-765-4321
 david ,35.0,65000.0,Other,Finance,Analyst,2019.12.01,F,user@domain.com,098-765-4321
 david ,40.0,70000.0,Female,Finance,Clerk,01/15/2020,F,email@example.com,098-765-4321
 jack ,40.0,65000.0,Other,Marketing,Clerk,2020/02/20,C,email@example.com,555-555-5555
 jack ,40.0,65000.0,Male,HR,Clerk,03-25-2019,B,email@example.com,123-456-7890
 charlie ,35.0,65000.0,Male,Finance,Director,2020/02/20,F,name@company.org, 
 alice ,50.0,55000.0,Male,HR,Director,2020/02/20,B,,123-456-7890
 hannah ,50.0,70000.0,Female,IT,Manager,"April 5, 2018",B,user@domain.com, 
 eve ,35.0,65000.0,Female,IT,Analyst,03-25-2019,F,email@example.com,098-765-4321
 david ,50.0,,Male,Marketing,Assistant,2020/02/20,C,,555-555-5555
 hannah ,40.0,70000.0,Other,Sales,Manager,2020/02/20,F,,555-555-5555
 bob ,25.0,60000.0,Male,Sales,Analyst,01/15/2020,B,name@company.org, 
 hannah ,35.0,,Female,HR,Manager,"April 5, 2018",C,name@company.org,123-456-7890
 charlie ,40.0,70000.0,Other,Finance,Analyst,03-25-2019,F,, 
 alice ,50.0,,Other,IT,Clerk,2019.12.01,F,, 
 alice ,40.0,70000.0,Male,Finance,Director,2019.12.01,B,name@company.org,123-456-7890
 charlie ,35.0,,Female,Sales,Clerk,2020/02/20,C,email@example.com,
 eve ,40.0,55000.0,Other,IT,Analyst,01/15/2020,D,user@domain.com,555-555-5555
 charlie ,50.0,,Female,Finance,Manager,03-25-2019,C,,123-456-7890
 alice ,35.0,70000.0,Other,HR,Clerk,2020/02/20,D,, 
 jack ,25.0,,Female,IT,Assistant,03-25-2019,A,user@domain.com,555-555-5555
 charlie ,25.0,55000.0,Female,IT,Director,03-25-2019,C,email@example.com,
 bob ,25.0,55000.0,Female,Finance,Assistant,01/15/2020,C,email@example.com,123-456-7890
 grace ,35.0,50000.0,Male,Finance,Analyst,01/15/2020,F,,
 alice ,50.0,70000.0,Other,Sales,Clerk,03-25-2019,B,,098-765-4321
 jack ,40.0,70000.0,Male,Finance,Clerk,01/15/2020,C,,098-765-4321
 hannah ,40.0,55000.0,Female,IT,Clerk,"April 5, 2018",D,email@example.com,098-765-4321
 jack ,50.0,55000.0,Female,HR,Assistant,03-25-2019,C,,
 jack ,25.0,70000.0,Male,Finance,Assistant,2019.12.01,B,email@example.com, 
 jack ,25.0,70000.0,Female,Finance,Director,03-25-2019,C,user@domain.com,555-555-5555
